resume_index,job_1_match_score,job_2_match_score,job_3_match_score
105,"('Quality Analyst', np.float64(0.9777371272117986))","('Quality Analyst', np.float64(0.9777371272117986))","('Business Analyst (Asset Servicing/Corporate Actions)', np.float64(0.9257199312145088))"
106,"('Portfolio Manager', np.float64(0.8638249947820351))","('Senior Salesforce Developer', np.float64(0.8480186861096872))","('Senior Salesforce Developer', np.float64(0.8480186861096872))"
107,"('Social Media Manager', np.float64(0.9393844238632139))","('Sr. Market Research Analyst', np.float64(0.9322303163674892))","('Content Writer - Immediate Joining', np.float64(0.9320424073896402))"
108,"('Head - Key Accounts (Institutional & Govt. Business)', np.float64(0.956104117026546))","('Technical Team Lead', np.float64(0.9542625723727852))","('Technical Team Lead', np.float64(0.9542625723727852))"
109,"('Demand Generation Manager/ Executive - 2 to 6 years', np.float64(0.9124903717079106))","('Territory sales (Ed-tech)', np.float64(0.8698579298251631))","('Inside sales counsellor', np.float64(0.8672569310041418))"
110,"('Azure Data Engineer', np.float64(0.9680243592736439))","('Azure Data Engineer', np.float64(0.9680243592736439))","('Azure Data Engineer', np.float64(0.9680243592736439))"
111,"('Content Editor MotoGP', np.float64(0.8492140937250204))","('Senior Actuarial Analyst', np.float64(0.8293098964686553))","('Senior Actuarial Analyst', np.float64(0.8293098964686553))"
112,"('Technical Lead', np.float64(0.8946702998860577))","('Full Stack Lead- NodeJs', np.float64(0.8754643315354248))","('US Collection- Voice Process', np.float64(0.8348601895782148))"
113,"('Technical Officer-Injection Moulding', np.float64(0.9435506265969492))","('Technical Officer-Injection Moulding', np.float64(0.9435506265969492))","('Senior Full Stack Developer(6 month contract) -Ruby Developer :WFH Permanent -UK Client', np.float64(0.9431596734188289))"
114,"('Virtual Assistant (Cold Callers||night shift||females only||work from office)', np.float64(0.9066319242308722))","('IT Service Management Analyst', np.float64(0.8995675193254237))","('Senior Dev Ops Engineer', np.float64(0.8994703452257056))"
115,"('Associate Engineer Analysis', np.float64(0.8399403954939346))","('Virtusa is hiring for VAX/VMS', np.float64(0.8274670152112094))","('Virtusa is hiring for VAX/VMS', np.float64(0.8274670152112094))"
116,"('Senior Account Analyst', np.float64(0.9560760554039076))","('Senior Account Analyst', np.float64(0.9560760554039076))","('French language Interpreter', np.float64(0.9351954187810325))"
117,"('Content Curation-Analyst', np.float64(0.9098948237699612))","('Content Curation-Analyst', np.float64(0.9098948237699612))","('Site Management Services - Analyst/Senior Analyst', np.float64(0.8886619659363044))"
118,"('Sr. Associate / Associate - Governance and Risk Officer', np.float64(0.9833242425265725))","('Sr. Associate; Data Analyst (Google Analytics)', np.float64(0.9763769852326911))","('Sr. Associate; Data Analyst (Google Analytics)', np.float64(0.9763769852326911))"
119,"('Finance Manager', np.float64(0.9466300897682585))","('General Manager Finance', np.float64(0.9344084771713423))","('Chartered Accountant (For Startup) 0-2 Years Exp', np.float64(0.8917272385772793))"
120,"('Accounts MIS Specialist', np.float64(0.9609314537944635))","('Accounts MIS Specialist', np.float64(0.9609314537944635))","('Senior Power BI', np.float64(0.9586896165180804))"
121,"('Human Resources Specialist', np.float64(0.9320029377937317))","('Compensation Analyst', np.float64(0.910237727615417))","('Human Resources Specialist', np.float64(0.9030209887934496))"
122,"('Chartered Accountant (For Startup) 0-2 Years Exp', np.float64(0.9246806078664852))","('Senior Analyst - Business Finance', np.float64(0.8923200882155049))","('Senior Analyst - Business Finance', np.float64(0.8923200882155049))"
123,"('IB Diploma Programme Coordinator, IB DP Coordinator', np.float64(0.9021939264851515))","('Training+Internships', np.float64(0.8963063854825499))","('Training+Internships', np.float64(0.8963063854825499))"
124,"('Product Specialist', np.float64(0.9573361220722577))","('Enterprise Sales Manager', np.float64(0.9095882803121915))","('Associate Vice President – Commercial Sales', np.float64(0.8793476832099747))"
125,"('STEM and Robotics Mentor', np.float64(0.7297131644115199))","('STEM and Robotics Mentor', np.float64(0.7297131644115199))","('Data Visualization', np.float64(0.7212689441402371))"
126,"('Data Scientist -Azure (3+yrs only)', np.float64(0.9368110376399388))","('Data Scientist -Azure (3+yrs only)', np.float64(0.9368110376399388))","('Data Scientist -Azure (3+yrs only)', np.float64(0.9368110376399388))"
127,"('Design Automation', np.float64(0.9467237423978478))","('Computer Vision Engineer', np.float64(0.942005357504096))","('Computer Vision Engineer', np.float64(0.942005357504096))"
128,"('Spark Apache+Big Data  Exp:10-13 yrs', np.float64(0.9241499754236259))","('Spark Apache+Big Data  Exp:10-13 yrs', np.float64(0.9241499754236259))","('Spark Apache+Big Data  Exp:10-13 yrs', np.float64(0.9241499754236259))"
129,"('SAS Developer', np.float64(0.9655119720172239))","('VPC SRE Operations', np.float64(0.9239192515434408))","('Servicenow CMDB/ITAM Developer', np.float64(0.9105833963356518))"
